Mode,SOC,R0
Charge,1,0.00368488
Charge,0.9,0.00208424
Charge,0.8,0.00203616
Charge,0.7,0.00201026
Charge,0.6,0.00192515
Charge,0.5,0.00198068
Charge,0.4,0.00190658
Charge,0.3,0.00187327
Charge,0.2,0.00184743
Charge,0.1,0.00145123
Charge,0,0.000477587
Discharge,1,0.00103719
Discharge,0.9,0.000966814
Discharge,0.8,0.00101494
Discharge,0.7,0.00102604
Discharge,0.6,0.00108903
Discharge,0.5,0.0011298
Discharge,0.4,0.00106683
Discharge,0.3,0.00108164
Discharge,0.2,0.00111128
Discharge,0.1,0.00151875
Discharge,0,0.0023818
